tissue	anchor	offset_nt	psites	n_tx	psites_norm
pooled	stop	-72	9295203	568912	6826.840029
pooled	stop	-71	1120063	568912	981.896669
pooled	stop	-70	1167340	568912	1041.312747
pooled	stop	-69	8732853	568912	6906.823473
pooled	stop	-68	1126056	568912	933.620861
pooled	stop	-67	1083111	568912	1064.979627
pooled	stop	-66	9572688	568920	7027.199603
pooled	stop	-65	1144761	568920	998.305904
pooled	stop	-64	1199131	568920	1054.691891
pooled	stop	-63	8682320	568928	7014.692850
pooled	stop	-62	1133347	568928	951.819349
pooled	stop	-61	1083415	568928	981.331913
pooled	stop	-60	9679168	568928	6751.279823
pooled	stop	-59	1297735	568928	1015.044387
pooled	stop	-58	1108647	568928	1032.153210
pooled	stop	-57	9848438	568928	6643.665640
pooled	stop	-56	1137417	568928	965.488817
pooled	stop	-55	1060463	568928	1048.900837
pooled	stop	-54	9149635	568928	6784.630982
pooled	stop	-53	1120880	568928	915.990887
pooled	stop	-52	1110110	568928	1102.206879
pooled	stop	-51	8951488	568928	6588.371432
pooled	stop	-50	1068474	568928	926.760453
pooled	stop	-49	1065481	568928	1041.012977
pooled	stop	-48	8417366	568928	6565.814279
pooled	stop	-47	976104	568928	933.887354
pooled	stop	-46	1084673	568928	1017.246848
pooled	stop	-45	9089848	568928	6528.925992
pooled	stop	-44	1292478	568928	930.950412
pooled	stop	-43	1226767	568928	1018.880205
pooled	stop	-42	9147943	568928	6592.805529
pooled	stop	-41	977768	568928	956.849234
pooled	stop	-40	1084834	568928	994.328307
pooled	stop	-39	9040128	568928	6595.753167
pooled	stop	-38	994586	568928	910.096109
pooled	stop	-37	1154802	568928	1049.605619
pooled	stop	-36	10143273	568928	6983.564290
pooled	stop	-35	1160175	568928	994.684573
pooled	stop	-34	1272774	568928	1115.079501
pooled	stop	-33	10170611	568928	7632.927896
pooled	stop	-32	1360099	568928	1048.391446
pooled	stop	-31	1360012	568928	1119.504372
pooled	stop	-30	12641637	568928	7373.245729
pooled	stop	-29	1406536	568928	1107.269335
pooled	stop	-28	1251803	568928	1162.994805
pooled	stop	-27	9530666	568928	6922.544845
pooled	stop	-26	1086883	568928	993.643703
pooled	stop	-25	1104515	568928	1078.213579
pooled	stop	-24	8938230	568928	6687.892850
pooled	stop	-23	1177402	568928	981.994350
pooled	stop	-22	1164202	568928	1104.843980
pooled	stop	-21	11009354	568928	6864.526343
pooled	stop	-20	1138705	568928	1017.206308
pooled	stop	-19	1177459	568928	1071.665749
pooled	stop	-18	8889553	568928	6510.605822
pooled	stop	-17	1114281	568928	1037.534835
pooled	stop	-16	1194933	568928	1103.832228
pooled	stop	-15	10491068	568928	6441.700086
pooled	stop	-14	1144465	568928	1007.778073
pooled	stop	-13	879753	568928	831.981276
pooled	stop	-12	6850204	568928	5125.034893
pooled	stop	-11	792968	568928	632.110762
pooled	stop	-10	1189290	568928	948.687962
pooled	stop	-9	14970146	568928	9471.633130
pooled	stop	-8	1867321	568928	1234.561253
pooled	stop	-7	1228813	568928	1168.290232
pooled	stop	-6	10080456	568928	7619.128875
pooled	stop	-5	869498	568928	800.701397
pooled	stop	-4	754988	568928	801.269985
pooled	stop	-3	8185215	568928	6575.422013
pooled	stop	-2	898598	568928	882.428436
pooled	stop	-1	1520175	568928	1441.495412
pooled	stop	0	42348902	568928	29752.660093
pooled	stop	1	7379355	568928	4564.703066
pooled	stop	2	1484796	568928	1304.048587
pooled	stop	3	1392338	529936	908.104387
pooled	stop	4	308492	529936	298.042909
pooled	stop	5	255097	529928	248.747820
pooled	stop	6	199949	525752	162.316601
pooled	stop	7	326289	525528	266.003328
pooled	stop	8	212226	525312	231.497407
pooled	stop	9	128034	525240	156.442530
pooled	stop	10	184924	524992	216.946250
pooled	stop	11	202180	524936	232.570831
pooled	stop	12	104386	524768	122.289417
pooled	stop	13	159311	524592	210.664072
pooled	stop	14	238413	524440	286.106959
pooled	stop	15	116758	524304	163.892951
pooled	stop	16	135383	524200	219.321417
pooled	stop	17	129892	524080	186.934940
pooled	stop	18	86235	523936	114.414190
pooled	stop	19	126817	523808	165.751774
pooled	stop	20	122808	523616	150.806899
pooled	stop	21	80226	523312	133.013046
pooled	stop	22	114052	523072	184.848678
pooled	stop	23	116181	522776	177.334535
pooled	stop	24	71017	522336	124.761656
pooled	stop	25	124099	521944	175.968050
pooled	stop	26	130417	521664	263.346047
pooled	stop	27	79502	521408	139.576674
pooled	stop	28	141140	521184	161.902814
pooled	stop	29	103226	520928	156.192777
pooled	stop	30	57565	520760	134.058651
pooled	stop	31	107466	520576	180.652573
pooled	stop	32	126595	520232	174.749391
pooled	stop	33	54634	520016	109.388564
pooled	stop	34	115365	519792	175.742627
pooled	stop	35	129054	519552	190.009228
pooled	stop	36	75740	519240	133.716834
pooled	stop	37	134614	518968	202.483648
pooled	stop	38	138123	518496	175.804383
pooled	stop	39	97569	518224	162.550431
pooled	stop	40	135971	517904	221.323583
pooled	stop	41	120590	517384	191.428121
pooled	stop	42	90600	517064	127.929469
pooled	stop	43	165110	516544	181.624421
pooled	stop	44	115854	516016	184.687031
pooled	stop	45	302052	515560	123.258719
pooled	stop	46	126256	515200	208.917929
pooled	stop	47	133169	514600	180.104899
pooled	stop	48	70735	514200	108.539358
pooled	stop	49	136379	513728	203.073972
pooled	stop	50	115550	513136	203.696403
